ISO3,Country,BCP sequestration in EEZ (GtC/year),Area.EEZ (km2),Carbon/area (tC/km2),BCP sequestration in MPA (GtC),Area.MPA (km2),Present value of BCP sequestration to 2050 (US$),Present value of BCP sequestration to 2030 (US$),GDP (US$),Annual value of BCP sequestration in EEZ (US$),gdp.ratio,gdp.percentage,Region,Income.group,Lending,Other,Continent,Sovereign.ISO,Territory,Name,Sovereign2,Sovereign3,Territory.ISO,SIDS
CRI,Costa Rica,0.01154022,"581,726",19.8378964,0.003015377,169156.6,"78,857,512,345","24,647,106,511",68380838316,"3,808,272,639 USD",0.055692102,5.57,Latin America & Caribbean,Upper middle,IBRD,None,Americas,,,,,,,
HRV,Croatia,0.0000391,"55,404",0.71,0.00000248,2318.62,"267,148,881","83,498,030",70964606465,"12,901,444 USD",0.000181801,0.02,Europe & Central Asia,High,IBRD,None,Europe,,,,,,,
CUB,Cuba,0.001736817,"352,259",4.93,0.000134514,18907.64,"11,868,148,468","3,709,418,554",1.07E+11,"573,149,517 USD",0.005338974,0.53,Latin America & Caribbean,Upper middle,None,None,Americas,,,,,,,1
CYP,Cyprus,0.000491679,"98,450",4.99,0.0000483,8494.4,"3,359,776,496","1,050,106,283",28439052741,"162,253,976 USD",0.005705323,0.57,Europe & Central Asia,High,None,None,Asia,,,,,,,
COD,Dem. Rep. Congo,0,"13,373",24.51549722,,,"2,240,260,546","700,198,861",58065953573,"108,189,096 USD",0.001863211,0.19,Sub-Saharan Africa,Low,IDA,HIPC,Africa,COD,Democratic Republic of the Congo,Democratic Republic of the Congo Exclusive Economic Zone,,,COD,
DNK,Denmark,0.016410864,"2,639,276",6.217941627,0.0000224,104512.3,"112,000,000,000","35,049,618,757",3.95E+11,"5,415,585,155 USD",0.013696334,1.37,Europe & Central Asia,High,None,None,Europe,,,,,,,
DMA,Dominica,0.0000837,"28,552",2.93,0.000000033,4,"571,653,008","178,671,532",612048148.1,"27,606,888 USD",0.045105745,4.51,Latin America & Caribbean,Upper middle,Blend,None,Americas,,,,,,,1
DOM,Dominican Republic,0.000613543,"350,694",1.75,0.0000415,48105.93,"4,192,510,226","1,310,379,227",1.14E+11,"202,469,258 USD",0.001781641,0.18,Latin America & Caribbean,Upper middle,IBRD,None,Americas,,,,,,,1
TLS,East Timor,0.00046181,"77,473",5.96090902,0.00000567,939.11,"3,155,671,930","986,312,906",3163324631,"152,397,137 USD",0.048176256,4.82,East Asia & Pacific,Lower middle,Blend,None,Asia,TLS,Oecusse,Oecussi Ambeno Exclusive Economic Zone,,,,1
ECU,Ecuador,0.034946708,"1,077,731",32.42618799,0.007026304,205137.8,"239,000,000,000","74,637,678,104",1.15E+11,"11,532,413,643 USD",0.100239147,10,Latin America & Caribbean,Upper middle,IBRD,None,Americas,,,,,,,
EGY,Egypt,0.001,"243,342",6.032552784,0.00000899,1226.3,"10,031,068,213","3,135,234,670",4.77E+11,"484,431,242 USD",0.001016116,0.1,Middle East & North Africa,Lower middle,IBRD,None,Africa,,,,,,,
SLV,El Salvador,0.002600795,"95,099",27.34828853,,,"17,771,950,024","5,554,666,031",32488720000,"858,262,314 USD",0.02641724,2.64,Latin America & Caribbean,Lower middle,IBRD,None,Americas,SLV,El Salvador,El Salvador Exclusive Economic Zone,,,SLV,
GNQ,Eq. Guinea,0.006,"304,133",18.48309972,0.0000102,698.6,"38,412,036,470","12,005,775,050",11813908448,"1,855,035,787 USD",0.157021344,16,Sub-Saharan Africa,Upper middle,IBRD,None,Africa,,,,,,,
FJI,Fiji,0.002835137,"1,300,509",2.18,0.0000312,12566.3,"19,373,273,293","6,055,163,498",4943248200,"935,595,157 USD",0.189267283,19,East Asia & Pacific,Upper middle,Blend,None,Oceania,,,,,,,1
FRA,France,0.044719481,"9,547,420",4.68,0.029772306,4087111.71,"306,000,000,000","95,509,946,523",2.78E+12,"14,757,428,665 USD",0.005302877,0.53,Europe & Central Asia,High,None,None,Europe,,,,,,,
FSM,FS of Micronesia,0.013999541,"3,055,151",4.58,0.00000198,475.09,"95,662,733,356","29,899,619,047",427094119.1,"4,619,848,626 USD",10.81693336,1082,East Asia & Pacific,Lower middle,IDA,None,Oceania,FSM,FS of Micronesia,Micronesian Exclusive Economic Zone,,,FS of Micronesia,1
GAB,Gabon,0.004,"201,759",21.01554854,0.001278696,56827.5,"28,973,611,128","9,055,772,345",21071739228,"1,399,225,099 USD",0.066402924,6.64,Sub-Saharan Africa,Upper middle,IBRD,None,Africa,,,,,,,
GMB,Gambia,0,"23,097",16.75975774,0.00000201,52.5,"2,645,162,097","826,751,821",2273060863,"127,743,041 USD",0.056198689,5.62,Sub-Saharan Africa,Low,IDA,HIPC,Africa,,,,,,,
