ISO,Continent,Groups,EEZ Area (km²),Saltmarshes Area (km²),Seagrasses Area (km²),Mangroves Area (km²),Total BCEs Area (km²),Saltmarshes Sequestration (tC),Saltmarshes SE,Seagrasses Sequestration (tC),Seagrasses SE,Mangroves Sequestration (tC),Mangroves SE,Total BCEs Sequestration (tC),Total BCEs SE (tC),BCP Sequestration (tC),Total Blue Carbon Sequestration (tC),Total Blue Carbon Sequestration SE
HND,Americas,Developing economies,320588.1623000001,,2739.1957906176,600.9931089823,3340.1888995998997,,,599234.0625,3792.349196424309,111343.78,976.6842463057592,710577.875,3914.152299689451,591886.0,1302463.875,3914.152299689451
UMI-1,Oceania,Developed economies,434897.4775,,,,,,,,,,,,,,,
HUN,Europe,Developed economies,93001.38934,,,,,,,,,,,,,,,
ISL,Europe,Developed economies,865630.9691,26.2857318694,,,26.2857318694,4416.0034,3.452756149995202e-06,,,,,4416.00341796875,3.452756149995202e-06,8803328.0,8807743.0,0.0070712445951901
IND,Asia,Developing economies,4804678.648,,2583.230114132,3446.1750775844,6029.4051917164,,,565114.625,3576.4186400327408,638460.2,5600.438549089211,1203574.625,6638.772525029099,33290126.000000004,34493700.0,6638.772525029099
IDN,Asia,Developing economies,7906619.381,,17597.0823649314,,17597.0823649314,,,3849586.25,24362.72657202509,,,3849586.25,24362.72657202509,30885166.0,34734756.0,24362.72657202509
IRN,Asia,Developing economies,1838516.136,,2704.3209827839,102.63787859,2806.9588613739,,,591604.75,3744.065788770941,19015.34,166.7985884788475,610620.125,3747.436851887512,299557.0,910177.0625,3747.436851887512
IRQ,Asia,Developing economies,438531.6527,,90.6672882819,,90.6672882819,,,19834.626953125,125.5266291137097,,,19834.626953125,125.5266291137097,,19834.626953125,125.5266291137097
IRL,Europe,Developed economies,498255.4494,99.0633788019,3.6013766773,,102.6647554792,16642.645,1.3811024599980809e-05,787.8472290039062,4.986017326327589,,,17430.4921875,4.986017326327589,2719716.0,2737146.75,4.9860247715139865
CHL-2,Americas,Developing economies,450968.2044,,,,,,,,,,,,,,,
IMN,Europe,Developed economies,4540.893665,,,,,,,,,,,,,,,
ISR,Asia,Developed economies,46692.92813,,17.3956373442,,17.3956373442,,,3805.51806640625,24.083830165980103,,,3805.51806640625,24.083830165980103,20100.0,23905.517578125,24.083830165980103
ITA,Europe,Developed economies,837224.5569,439.3309839357,3724.9805100926,,4164.3114940283,73807.62,5.524409839992324e-05,814887.125,5157.143819564366,,,888694.6875,5157.143299026446,8715967.0,9604661.0,5157.143559295412
CIV,Africa,Developing economies,492520.1653,,,53.4962968508,53.4962968508,,,,,9911.061,86.93775318839607,9911.060546875,86.93775318839607,3000000.0,3009911.25,86.93775695771798
JAM,Caribbean,SIDS,267911.9523,,791.6998588876,97.6693403955,889.3691992831,,,173194.4375,1096.088838375047,18094.838,158.72413331413978,191289.296875,1107.1985284803593,838551.0,1029840.3125,1107.1985284803593
SJM-1,Europe,Developed economies,293290.5763,,,,,,,,,,,,,,,
JPN,Asia,Developed economies,4438697.451,,473.7326777891,10.2871928875,484.0198706766,,,103635.0703125,655.8711862045509,1905.8704,16.717895427396837,105540.9375,656.0498474356625,22871261.0,22976800.0,656.0498474356625
UMI-2,Oceania,Developed economies,323192.6875,,,,,,,,,,,,,,,
JEY,Europe,Developed economies,2456.817384,,,,,,,,,,,,,,,
UMI-3,Oceania,Developed economies,442448.3936,,,,,,,,,,,,,,,
,,,377047.05997778,,2.1668535853,,2.1668535853,,,474.0268859863281,2.999955530780304,,,474.0268859863281,2.999955530780304,,474.0268859863281,2.999955530780304
JOR,Asia,Developing economies,89443.77602,,1.3705424897,,1.3705424897,,,299.8236999511719,1.8974823377204588,,,299.8236999511719,1.8974823377204588,,299.8236999511719,1.8974823377204588
ATF-5,Africa,Developing economies,62824.02726,,,,,,,,,,,,,,,
KAZ,Asia,Developing economies,2836835.689,,,,,,,,,,,,,,,
KEN,Africa,Developing economies,707484.6591,,116.0615719036,542.0699299071,658.1315018107,,,25389.951171875,160.68438257435028,100427.305,880.927175723332,125817.2578125,895.1369008883761,1000000.0,1125817.375,895.1369008883761
ATF-6,Africa,Developing economies,558169.7229000002,,,,,,,,,,,,,,,
KIR,Oceania,SIDS,3441229.2672999995,,496.2343497951,1.4648261908,497.6991759859,,,108557.609375,687.0242018230613,271.38293,2.380514306674907,108828.984375,687.0874818362274,25833193.0,25942020.0,687.0234691823274
RU-SA,Asia,,218735.0936,,,,,,,,,,,,,,,
KWT,Asia,Developing economies,28241.48885,,1568.6025533623,,1568.6025533623,,,343151.8125,2171.691534482291,,,343151.8125,2171.691534482291,,343151.8125,2171.691534482291
KGZ,Asia,Developing economies,199637.6734,,,,,,,,,,,,,,,
LAO,Asia,LDCs,229724.7134,,,,,,,,,,,,,,,
LVA,Europe,Developed economies,92872.99497,0.7129094665,,,0.7129094665,119.768776,1.078986296873501e-07,,,,,119.7687759399414,1.078986296873501e-07,,119.7687759399414,1.078986296873501e-07
LBN,Asia,Developing economies,29064.42192,,,,,,,,,,,,,40900.0,40900.0,0.0
LSO,Africa,LDCs,30561.65539,,,,,,,,,,,,,,,
LBR,Africa,LDCs,347612.3157,,,182.1353161055,182.1353161055,,,,,33743.54,295.9912387749873,33743.5390625,295.9912387749873,3000000.0,3033743.5,295.99124763190844
LBY,Africa,Developing economies,1973738.166,,11.5167549849,,11.5167549849,,,2519.437255859375,15.944663145207574,,,2519.437255859375,15.944663145207574,7000000.0,7002519.0,15.944667640979825
LIE,Europe,Developed economies,160.8089954,,,,,,,,,,,,,,,
LTU,Europe,Developed economies,71779.08695,,,,,,,,,,,,,,,
MKD,Europe,Developed economies,25437.19787,,,,,,,,,,,,,,,
AU-TAS,Oceania,,476412.8641,,,,,,,,,,,,,,,
MDG,Africa,LDCs,1786627.146,57.8254622808,5764.7648300837,2758.3331165541,8580.9234089186,9714.68,1.3811024599980809e-05,1261115.75,7981.174715071045,511026.2,4482.614576194418,1781856.625,9145.809734680128,3000000.0,4781857.0,9145.809441158952
PT-30,Europe,,453615.7185,,,,,,,,,,,,,,,
MWI,Africa,LDCs,118501.0583,,,,,,,,,,,,,,,
MYS,Asia,Developing economies,847078.3438,,548.0749517944,5227.091421078,5775.1663728724,,,119898.390625,758.7962540003965,968403.94,8494.636176236363,1088302.25,8526.904847531283,1108930.0,2197232.25,8526.904847531283
MDV,Asia,SIDS,924130.53,,2400.9672221328,0.9734406622,2401.940662795,,,525242.25,3324.080050403473,180.34576,1.581955147627282,525422.5625,3324.077122893912,11633297.0,12158720.0,3324.077122893912
MLI,Africa,LDCs,1252545.079,,,,,,,,,,,,,,,
MLT,Europe,Developed economies,53247.41011,,70.4110839898,,70.4110839898,,,15403.3251953125,97.48241008045376,,,15403.3251953125,97.48241008045376,1556727.0,1572130.375,97.4824168036436
MHL,Oceania,SIDS,2004958.808,,525.8349166768,0.3254464617,526.1603631385001,,,115033.0859375,728.0054323216788,60.294262,0.5288886708574009,115093.3984375,728.0045680734131,8845072.0,8960165.0,728.0045680734131
MTQ,Caribbean,SIDS,48905.09809,,548.7793639129,19.4411010032,568.2204649160999,,,120052.4921875,759.7714591250615,3601.7808,31.594068174535405,123654.28125,760.3631918823388,,123654.28125,760.3631918823388
VU,Oceania,,187185.5177,,,,,,,,,,,,,,,
MRT,Africa,LDCs,1212054.797,23.0,772.0,3.4594715486,798.4594715486,3864.0,0.0,168884.859375,1068.8149562934734,640.9235,5.622046507309106,173389.78125,1068.8182135842394,4000000.0,4173389.75,1068.818174339831
MYT,Africa,Developing economies,67285.12793,,1484.3952218942,6.7533274632,1491.1485493574,,,324730.4375,2055.1086690890893,1251.164,10.974948582787064,325981.59375,2055.115445257581,,325981.59375,2055.115445257581
ES-ML,Africa,,40.73956715,,,,,,,,,,,,,,,
