run,dmgfuncpar,climate,SSP,RCP,prtp,eta,dr,gscc,n_iso3,scenario_id,discount_id,log_gscc,draw,systematic_centered,log_gscc_adj,gscc_adj,fitted_log,residual
bhm_richpoor_sr,bootstrap,expected,SSP4,rcp45,,,3.0,239.21514858415077,169,ssp4_rcp45,fixed_dr3p0,5.477363350272503,8367,-0.3163145223250379,5.793677872597541,328.2179510425189,6.191577830493063,-0.7142144802205603
bhm_richpoor_sr,bootstrap,expected,SSP4,rcp60,,,5.0,93.23881110248337,169,ssp4_rcp60,fixed_dr5p0,4.535164063147645,8368,-1.0013547162660428,5.536518779413688,253.79295058295946,5.506537636552058,-0.9713735734044127
bhm_sr,estimates,uncertain,SSP4,rcp60,1.0,1p5,,1044.5969031445334,169,ssp4_rcp60,ramsey_prtp1p0_eta1p5,6.951386351364962,8369,0.3100481876351714,6.641338163729791,766.1195007161812,6.8179405404532725,0.13344581091168983
djo_richpoor,estimates,uncertain,SSP3,rcp60,2.0,1p5,,165.8626139974944,169,ssp3_rcp60,ramsey_prtp2p0_eta1p5,5.111159819163514,8370,-0.42256094252022414,5.533720761683738,253.08382594179028,6.085331410297877,-0.9741715911343629
bhm_sr,bootstrap,uncertain,SSP5,rcp60,1.0,0p7,,1130.7745779563952,169,ssp5_rcp60,ramsey_prtp1p0_eta0p7,7.030658144099085,8371,0.6683034963827339,6.3623546477163515,579.6095271198898,7.176195849200835,-0.14553770510174946
bhm_richpoor_sr,estimates,uncertain,SSP2,rcp85,2.0,0p7,,359.76109347243636,169,ssp2_rcp85,ramsey_prtp2p0_eta0p7,5.885440181907567,8372,-0.3144739108199114,6.199914092727479,492.70671218530504,6.1934184419981895,-0.30797826009062224
bhm_lr,bootstrap,uncertain,SSP5,rcp85,1.0,1p5,,1771.4435835321738,169,ssp5_rcp85,ramsey_prtp1p0_eta1p5,7.47955007707652,8373,0.6123788486567581,6.867171228419762,960.2284533780376,7.120271201474859,0.35927887560166116
bhm_sr,estimates,uncertain,SSP4,rcp45,1.0,1p5,,1103.3046332105205,169,ssp4_rcp45,ramsey_prtp1p0_eta1p5,7.006065167168773,8374,0.31728474452545063,6.688780422643322,803.3419168566636,6.825177097343552,0.18088806982522065
bhm_lr,estimates,expected,SSP3,rcp85,2.0,1p5,,1294.1910492306981,169,ssp3_rcp85,ramsey_prtp2p0_eta1p5,7.165641106535811,8375,0.07365600732596045,7.09198509920985,1202.2921023925499,6.581548360144062,0.5840927463917494
bhm_lr,estimates,uncertain,SSP2,rcp60,2.0,1p5,,704.786628364531,169,ssp2_rcp60,ramsey_prtp2p0_eta1p5,6.557895102200977,8376,-0.05850296178215253,6.616398063983129,747.2487018926865,6.4493893910359485,0.10850571116502827
bhm_lr,bootstrap,uncertain,SSP2,rcp85,,,5.0,293.64536118596806,169,ssp2_rcp85,fixed_dr5p0,5.682372784758679,8377,-0.4235287939895639,6.105901578748243,448.49681442766575,6.084363558828537,-0.4019907740698576
djo_richpoor,estimates,uncertain,SSP1,rcp85,1.0,1p5,,227.6089071277062,169,ssp1_rcp85,ramsey_prtp1p0_eta1p5,5.427628836493918,8378,0.08876553124649308,5.338863305247425,208.2758296414656,6.596657884064594,-1.1690290475706764
bhm_richpoor_sr,bootstrap,expected,SSP4,rcp85,,,5.0,86.48370674952764,169,ssp4_rcp85,fixed_dr5p0,4.459956034918483,8379,-0.9853741520425852,5.445330186961068,231.67376274025875,5.522518200775516,-1.0625621658570328
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp45,2.0,0p7,,522.9907138282568,169,ssp4_rcp45,ramsey_prtp2p0_eta0p7,6.259563708320783,8380,0.12778320673549234,6.131780501585291,460.2549161737915,6.635675559553594,-0.3761118512328103
bhm_lr,bootstrap,uncertain,SSP3,rcp85,2.0,1p5,,1264.8692027378997,169,ssp3_rcp85,ramsey_prtp2p0_eta1p5,7.142723998770639,8381,0.07054149280804006,7.072182505962599,1178.7177875777527,6.578433845626141,0.5642901531444977
bhm_richpoor_lr,estimates,uncertain,SSP3,rcp60,1.0,0p7,,1067.1332938739413,169,ssp3_rcp60,ramsey_prtp1p0_eta0p7,6.972731167467484,8382,0.5319821208571209,6.440749046610363,626.8761834747705,7.039874473675222,-0.06714330620773801
bhm_sr,bootstrap,expected,SSP3,rcp60,,,5.0,123.74650858607446,169,ssp3_rcp60,fixed_dr5p0,4.81823518760493,8383,-0.5113104387252024,5.329545626330133,206.34419548328427,5.996581914092898,-1.178346726487968
djo_richpoor,estimates,uncertain,SSP5,rcp60,,,3.0,787.9985254151242,169,ssp5_rcp60,fixed_dr3p0,6.669496218555524,8384,-0.22814958323681944,6.897645801792343,989.941451808397,6.279742769581281,0.38975344897424335
bhm_richpoor_sr,bootstrap,uncertain,SSP4,rcp85,1.0,1p5,,1001.1216044891805,169,ssp4_rcp85,ramsey_prtp1p0_eta1p5,6.908876254942932,8385,-0.060317670229320386,6.969193925172252,1063.3652530177794,6.4475746825887805,0.46130157235415137
bhm_richpoor_sr,estimates,expected,SSP4,rcp45,2.0,1p5,,243.16712180961497,169,ssp4_rcp45,ramsey_prtp2p0_eta1p5,5.49374895102546,8386,-0.5885120736535513,6.082261024679012,438.01844645295074,5.91938027916455,-0.4256313281390893
bhm_sr,estimates,expected,SSP2,rcp85,1.0,0p7,,1395.5695377847342,169,ssp2_rcp85,ramsey_prtp1p0_eta0p7,7.241057881749044,8387,0.7321555785438499,6.508902303205194,671.089360492455,7.240047931361951,0.0010099503870932836
bhm_sr,estimates,uncertain,SSP3,rcp45,1.0,0p7,,1431.4048691943935,169,ssp3_rcp45,ramsey_prtp1p0_eta0p7,7.26641166699942,8388,0.6511234404004851,6.615288226598935,746.4198373855222,7.159015793218586,0.10739587378083382
